IDŐ, ÚTX, DELTAX, FX
 181, 12.607299, 0.153748, 4742.625000
 182, 12.761046, 0.153748, 4742.625000
 183, 12.914794, 0.153748, 4742.625000
 184, 13.068542, 0.153748, 4742.625000
 185, 13.222289, 0.153748, 4742.625000
 186, 13.376037, 0.153748, 4742.625000
 187, 13.529784, 0.153748, 4742.625000
 188, 13.683532, 0.153748, 4742.625000
 189, 13.837279, 0.153748, 4742.625000
 190, 13.991027, 0.153748, 4742.625000
 191, 14.144774, 0.153748, 4742.625000
 192, 14.298522, 0.153748, 4742.625000
 193, 14.452270, 0.153748, 4742.625000
 194, 14.606017, 0.153748, 4742.625000
 195, 14.759765, 0.153748, 4742.625000
 196, 14.913512, 0.153748, 4742.625000
 197, 15.067260, 0.153748, 4742.625000
 198, 15.221007, 0.153748, 4742.625000
 199, 15.374755, 0.153748, 4742.625000
 200, 15.528502, 0.153748, 4742.625000
 201, 15.682250, 0.153748, 4742.625000
 202, 15.835998, 0.153748, 4742.625000
 203, 15.989745, 0.153748, 4742.625000
 204, 16.143492, 0.153747, 4742.624512
 205, 16.297239, 0.153748, 4742.625000
 206, 16.450987, 0.153748, 4742.625000
 207, 16.604734, 0.153748, 4742.625000
 208, 16.758482, 0.153748, 4742.625000
 209, 16.912230, 0.153748, 4742.625000
 210, 17.065977, 0.153748, 4742.625000
 211, 17.219725, 0.153748, 4742.625000
 212, 17.373472, 0.153748, 4742.625000
 213, 17.527220, 0.153748, 4742.625000
 214, 17.680967, 0.153748, 4742.625000
 215, 17.834715, 0.153748, 4742.625000
 216, 17.988462, 0.153748, 4742.625000
 217, 18.142210, 0.153748, 4742.625000
 218, 18.295958, 0.153748, 4742.625000
 219, 18.449705, 0.153748, 4742.625000
 220, 18.603453, 0.153748, 4742.625000
 221, 18.757200, 0.153748, 4742.625000
 222, 18.910948, 0.153748, 4742.625000
 223, 19.064695, 0.153748, 4742.625000
 224, 19.218443, 0.153748, 4742.625000
 225, 19.372190, 0.153748, 4742.625000
 226, 19.525938, 0.153748, 4742.625000
 227, 19.679686, 0.153748, 4742.625000
 228, 19.833433, 0.153748, 4742.625000
 229, 19.987181, 0.153748, 4742.625000
 230, 20.140928, 0.153748, 4742.625000
 231, 20.294676, 0.153748, 4742.625000
 232, 20.448423, 0.153748, 4742.625000
 233, 20.602171, 0.153748, 4742.625000
 234, 20.755919, 0.153748, 4742.625000
 235, 20.909666, 0.153748, 4742.625000
 236, 21.063414, 0.153748, 4742.625000
 237, 21.217161, 0.153748, 4742.625000
 238, 21.370909, 0.153748, 4742.625000
 239, 21.524656, 0.153748, 4742.625000
 240, 21.678404, 0.153748, 4742.625000
 241, 21.832151, 0.153748, 4742.625000
 242, 21.985899, 0.153748, 4742.625000
 243, 22.139647, 0.153748, 4742.625000
 244, 22.293394, 0.153748, 4742.625000
 245, 22.447142, 0.153748, 4742.625000
 246, 22.600889, 0.153748, 4742.625000
 247, 22.754637, 0.153748, 4742.625000
 248, 22.908384, 0.153748, 4742.625000
 249, 23.062132, 0.153748, 4742.625000
 250, 23.215879, 0.153748, 4742.625000
 251, 23.369627, 0.153748, 4742.625000
 252, 23.523375, 0.153748, 4742.625000
 253, 23.677122, 0.153748, 4742.625000
 254, 23.830870, 0.153748, 4742.625000
 255, 23.984617, 0.153748, 4742.625000
 256, 24.138365, 0.153748, 4742.625000
 257, 24.292112, 0.153748, 4742.625000
 258, 24.445860, 0.153748, 4742.625000
 259, 24.599607, 0.153748, 4742.625000
 260, 24.753355, 0.153748, 4742.625000
 261, 24.907103, 0.153748, 4742.625000
 262, 25.060850, 0.153748, 4742.625000
 263, 25.214598, 0.153748, 4742.625000
 264, 25.368345, 0.153748, 4742.625000
 265, 25.522093, 0.153748, 4742.625000
 266, 25.675840, 0.153748, 4742.625000
 267, 25.829588, 0.153748, 4742.625000
 268, 25.983335, 0.153748, 4742.625000
 269, 26.137083, 0.153748, 4742.625000
 270, 26.290831, 0.153748, 4742.625000
 271, 26.444578, 0.153748, 4742.625000
 272, 26.598326, 0.153748, 4742.625000
 273, 26.752073, 0.153748, 4742.625000
 274, 26.905821, 0.153748, 4742.625000
 275, 27.059568, 0.153748, 4742.625000
 276, 27.213316, 0.153748, 4742.625000
 277, 27.367064, 0.153748, 4742.625000
 278, 27.520811, 0.153748, 4742.625000
 279, 27.674559, 0.153748, 4742.625000
 280, 27.828306, 0.153748, 4742.625000
 281, 27.982054, 0.153748, 4742.625000
 282, 28.135801, 0.153748, 4742.625000
